Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
1,5511,0,0.246575342,J,103,9_3,1.06,1,10,104,4863,1762,3.920547945,7.443835616,4863,1762
2,5559,1,3.597260274,A,103,9_1,0.52,1,77.1,122,1716,1877,7.416438356,6.235616438,1716,4892
3,5559,1,4.715068493,A,103,9_28,1.07,1,77.1,125,1716,1877,7.416438356,6.235616438,1716,4892
4,5559,1,0.657534247,SA,103,9_2,0.99,1,111,104,1716,1877,7.416438356,6.235616438,1716,4892
5,5527,1,0.328767123,OFL,103,9_3,1.02,1,131,104,4936,1710,3.452054795,7.778082192,1707,1710
6,5539,1,1.964383562,A,103,9_12,0.36,1,9,110,4961,5167,3.123287671,2.109589041,4961,5167
7,5539,1,0.657534247,SA,103,9_20,0.61,1,133,104,4961,5167,3.123287671,2.109589041,4961,5167
8,5536,0,1.252054795,A,103,9_23,0.93,1,2,105,1763,3093,7.756164384,5.356164384,1763,4829
9,5536,0,0.328767123,OFL,103,9_16,0.47,1,2,104,1763,3093,7.756164384,5.356164384,1763,4829
10,5536,0,4.249315068,A,103,9_19,0.96,1,2,125,1763,3093,7.756164384,5.356164384,1763,4829
11,5536,0,3.471232877,A,103,9_22,0.66,1,134,122,1763,3093,7.756164384,5.356164384,1763,4829
12,5541,1,0.657534247,SA,103,9_23,0.97,1,30.2,104,1854,1543,6.260273973,10.63561644,0,1029
13,5533,0,0.328767123,OFL,103,9_9,0.95,1,35,104,1361,1698,11.55068493,8.484931507,1361,1698
14,5549,0,2.589041096,A,103,9_6,0.49,1,130,116,5123,4934,2.432876712,3.224657534,1042,1577
15,5549,0,0.657534247,SA,103,9_8,0.37,1,130,104,5123,4934,2.432876712,3.224657534,1042,1577
16,5509,1,1.315068493,SA,103,9_21,0.84,1,112,105,5123,1577,2.671232877,9.895890411,1042,1577
17,5509,1,0.328767123,OFL,103,9_28,0.82,1,46,104,5123,1577,2.671232877,9.895890411,1042,1577
